"Product ID";Image;Name;Reference;Category;"Base price";"Final price";Quantity;Status;Position
148;http://www.comparateurs.itancia.com/159/ip62.jpg;IP62;A139310;"Comparateur de postes";336.000000;336;0;1;
147;http://www.comparateurs.itancia.com/158/ip150.jpg;IP150;A138944;"Comparateur de postes";860.000000;860;0;1;
146;http://www.comparateurs.itancia.com/157/ip1202.jpg;IP1202;A139300;"Comparateur de postes";878.000000;878;0;1;
145;http://www.comparateurs.itancia.com/156/d81.jpg;D81;A139340;"Comparateur de postes";675.000000;675;0;1;
144;http://www.comparateurs.itancia.com/155/ip65.jpg;IP65;A139309;"Comparateur de postes";225.000000;225;0;1;
143;http://www.comparateurs.itancia.com/154/ip64.jpg;IP64;A139308;"Comparateur de postes";99.000000;99;0;1;
142;http://www.comparateurs.itancia.com/153/ip232.jpg;IP232;A139257;"Comparateur de postes";254.000000;254;0;1;
141;http://www.comparateurs.itancia.com/152/ip222.jpg;IP222;A139106;"Comparateur de postes";199.000000;199;0;1;
140;http://www.comparateurs.itancia.com/151/ip241.jpg;IP241;A139259;"Comparateur de postes";249.000000;249;0;1;
139;http://www.comparateurs.itancia.com/150/ip240.jpg;IP240;A138943;"Comparateur de postes";180.000000;180;0;1;
138;http://www.comparateurs.itancia.com/149/ip112.jpg;IP112;A139250;"Comparateur de postes";143.000000;143;0;1;
137;http://www.comparateurs.itancia.com/148/ip111.jpg;IP111;A138667;"Comparateur de postes";99.000000;99;0;1;
135;http://www.comparateurs.itancia.com/147/maxwell-c.jpg;"Maxwell C";A142806;"Comparateur de postes";156.250000;156.25;0;1;
134;http://www.comparateurs.itancia.com/146/w60p.jpg;W60P;A137747;"Comparateur de postes";148.840000;148.84;0;1;
132;http://www.comparateurs.itancia.com/144/rt30.jpg;RT30;A141643;"Comparateur de postes";151.230000;151.23;0;1;
131;http://www.comparateurs.itancia.com/145/w41p.jpg;W41P;A141675;"Comparateur de postes";178.700000;178.7;0;1;
130;http://www.comparateurs.itancia.com/141/fb4-ip-tp.jpg;"FB4 IP TP";A139084;"Comparateur de postes";714.520000;714.52;0;1;
129;http://www.comparateurs.itancia.com/140/fc4-s-ex.jpg;"FC4 S Ex";A137082;"Comparateur de postes";1582.610000;1582.61;0;1;
128;http://www.comparateurs.itancia.com/139/fc4-ex.jpg;"FC4 Ex";A084106;"Comparateur de postes";623.910000;623.91;0;1;
127;http://www.comparateurs.itancia.com/138/fc4-l-f.jpg;"FC4 L F";A102059;"Comparateur de postes";702.170000;702.17;0;1;
126;http://www.comparateurs.itancia.com/137/fc4-medical.jpg;"FC4 Medical";A086783;"Comparateur de postes";323.910000;323.91;0;1;
125;http://www.comparateurs.itancia.com/136/fc11.jpg;FC11;A124446;"Comparateur de postes";271.740000;271.74;0;1;
124;http://www.comparateurs.itancia.com/135/d11.jpg;D11;A119559;"Comparateur de postes";161.960000;161.96;0;1;
123;http://www.comparateurs.itancia.com/134/kx-udt111.jpg;KX-UDT111;A099324;"Comparateur de postes";155.000000;155;0;1;
122;http://www.comparateurs.itancia.com/132/kx-udt131.jpg;KX-UDT131;A099425;"Comparateur de postes";372.000000;372;0;1;
121;http://www.comparateurs.itancia.com/131/kx-udt121.jpg;KX-UDT121;A099323;"Comparateur de postes";266.000000;266;0;1;
120;http://www.comparateurs.itancia.com/130/kx-tpa65.jpg;KX-TPA65;A117884;"Comparateur de postes";115.000000;115;0;1;
119;http://www.comparateurs.itancia.com/129/kx-a406.jpg;KX-A406;A117885;"Comparateur de postes";115.000000;115;0;1;
118;http://www.comparateurs.itancia.com/128/kx-tgp600.jpg;KX-TGP600;A117881;"Comparateur de postes";115.000000;115;0;1;
117;http://www.comparateurs.itancia.com/127/kx-uds124.jpg;KX-UDS124;A099325;"Comparateur de postes";372.000000;372;0;1;
115;http://www.comparateurs.itancia.com/125/maxwell-10s-skype-for-business.jpg;"Maxwell 10S (Skype for Business)";A135961;"Comparateur de postes";674.000000;674;0;1;
112;http://www.comparateurs.itancia.com/122/d375.jpg;D375;A121003;"Comparateur de postes";253.000000;253;0;1;
111;http://www.comparateurs.itancia.com/121/d715.jpg;D715;A115137;"Comparateur de postes";135.000000;135;0;1;
109;http://www.comparateurs.itancia.com/119/maxwell-2.jpg;"Maxwell 2";A137672;"Comparateur de postes";119.950000;119.95;0;1;
108;http://www.comparateurs.itancia.com/118/kx-hdv430b.jpg;KX-HDV430B;A125398;"Comparateur de postes";340.000000;340;0;1;
107;http://www.comparateurs.itancia.com/117/kx-hdv330b.jpg;KX-HDV330B;A122023;"Comparateur de postes";205.000000;205;0;1;
106;http://www.comparateurs.itancia.com/116/kx-hdv230b.jpg;KX-HDV230B;A120756;"Comparateur de postes";135.000000;135;0;1;
105;http://www.comparateurs.itancia.com/115/kx-hdv130b.jpg;KX-HDV130B;A117494;"Comparateur de postes";58.000000;58;0;1;
104;http://www.comparateurs.itancia.com/114/sip-t58a.jpg;SIP-T58A;A135378;"Comparateur de postes";409.200000;409.2;0;1;
103;http://www.comparateurs.itancia.com/113/sip-t56a.jpg;SIP-T56A;A135379;"Comparateur de postes";392.920000;392.92;0;1;
102;http://www.comparateurs.itancia.com/112/sip-t58v.jpg;SIP-T58V;A135377;"Comparateur de postes";514.600000;514.6;0;1;
101;http://www.comparateurs.itancia.com/111/maxwell-10s-dect-handset.jpg;"Maxwell 10S DECT Handset";A135960;"Comparateur de postes";694.000000;694;0;1;
100;http://www.comparateurs.itancia.com/110/d745.jpg;D745;A124506;"Comparateur de postes";216.000000;216;0;1;
99;http://www.comparateurs.itancia.com/109/d712.jpg;D712;A136326;"Comparateur de postes";114.000000;114;0;1;
98;http://www.comparateurs.itancia.com/108/vvx600-skype-for-business.jpg;"VVX600 (Skype For Business)";A121678;"Comparateur de postes";449.000000;449;0;1;
97;http://www.comparateurs.itancia.com/107/vvx600.jpg;VVX600;A099731;"Comparateur de postes";435.000000;435;0;1;
96;http://www.comparateurs.itancia.com/106/vvx500-skype-for-business.jpg;"VVX500 (Skype For Business)";A121675;"Comparateur de postes";358.000000;358;0;1;
95;http://www.comparateurs.itancia.com/105/vvx500.jpg;VVX500;A091791;"Comparateur de postes";345.000000;345;0;1;
94;http://www.comparateurs.itancia.com/104/vvx410-skype-for-business.jpg;"VVX410 (Skype For Business)";A121680;"Comparateur de postes";285.000000;285;0;1;
93;http://www.comparateurs.itancia.com/103/vvx410.jpg;VVX410;A104626;"Comparateur de postes";272.000000;272;0;1;
92;http://www.comparateurs.itancia.com/102/vvx400-skype-for-business.jpg;"VVX400 (Skype For Business)";A121677;"Comparateur de postes";249.000000;249;0;1;
91;http://www.comparateurs.itancia.com/101/vvx400.jpg;VVX400;A102116;"Comparateur de postes";235.000000;235;0;1;
90;http://www.comparateurs.itancia.com/100/vvx310-skype-for-business.jpg;"VVX310 (Skype For Business)";A121679;"Comparateur de postes";213.000000;213;0;1;
89;http://www.comparateurs.itancia.com/99/vvx310.jpg;VVX310;A104625;"Comparateur de postes";199.000000;199;0;1;
88;http://www.comparateurs.itancia.com/98/vvx300-skype-for-business.jpg;"VVX300 (Skype For Business)";A121676;"Comparateur de postes";176.000000;176;0;1;
87;http://www.comparateurs.itancia.com/97/vvx300.jpg;VVX300;A102115;"Comparateur de postes";163.000000;163;0;1;
86;http://www.comparateurs.itancia.com/96/vvx1500.jpg;VVX1500;A074006;"Comparateur de postes";858.000000;858;0;1;
85;http://www.comparateurs.itancia.com/95/vvx601.jpg;VVX601;A125126;"Comparateur de postes";435.000000;435;0;1;
84;http://www.comparateurs.itancia.com/94/vvx501.jpg;VVX501;A128301;"Comparateur de postes";358.000000;358;0;1;
83;http://www.comparateurs.itancia.com/93/vvx411.jpg;VVX411;A128504;"Comparateur de postes";272.000000;272;0;1;
82;http://www.comparateurs.itancia.com/92/vvx401.jpg;VVX401;A125127;"Comparateur de postes";235.000000;235;0;1;
81;http://www.comparateurs.itancia.com/91/vvx311.jpg;VVX311;A128502;"Comparateur de postes";199.000000;199;0;1;
80;http://www.comparateurs.itancia.com/90/vvx301.jpg;VVX301;A125128;"Comparateur de postes";163.000000;163;0;1;
79;http://www.comparateurs.itancia.com/89/vvx201.jpg;VVX201;A119631;"Comparateur de postes";126.000000;126;0;1;
78;http://www.comparateurs.itancia.com/88/temporis-901g.jpg;"Temporis 901G";A135493;"Comparateur de postes";189.950000;189.95;0;1;
77;http://www.comparateurs.itancia.com/85/cx100.jpg;CX100;A061852;"Comparateur de postes";0.000000;0;0;1;
76;http://www.comparateurs.itancia.com/84/sip-t48s.jpg;SIP-T48S;A116753;"Comparateur de postes";276.970000;276.97;0;1;
